Baal submission {"status": "1", "message": "OK", "result": "mdfkbk6ilygratrffmxkcjcctaxrdducgfryd5xzfpxr8btgtp"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
Baal verification-status {"status": "1", "message": "OK", "result": "Pass - Verified"}
Baal source-present True
MultiSendCallOnly submission {"status": "1", "message": "OK", "result": "svihyt2usrmgwz4e9kts3bqp5mml4hghxqlzuzhxw9d6lzjymu"}
MultiSendCallOnly verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
MultiSendCallOnly verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
MultiSendCallOnly verification-status {"status": "0", "message": "NOTOK", "result": "Pending in queue"}
